,Disease,Description,Precaution,Recommendations
0,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Allergist / Immunologist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Rue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Internal Medicine Specialist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Avenue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina Chaoui
Doctor speciality / Title: Dermatologist
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
1,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Infectious Disease Specialist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Avenue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Tropical Medicine Specialist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Rue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina Mansouri
Doctor speciality / Title: Internal Medicine Specialist
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
2,Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",,"#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Allergist / Immunologist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Rue Hassan II, Casablanca

#Suggestion 2
Full Name: Dr. Ahmed Benjelloun
Doctor speciality / Title: Allergist / Immunologist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Avenue Mohammed V, Casablanca

#Suggestion 3
Full Name: Dr. Amina Chaoui
Doctor speciality / Title: Allergist / Immunologist
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca"
3,Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","reduce stress, exercise, eat healthy, get proper sleep","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Endocrinologist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Avenue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Internal Medicine Specialist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Rue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina El Mansouri
Doctor speciality / Title: Naturopathic Doctor
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
4,Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Dermatologist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Avenue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Rheumatologist
ID: 987654321
Phone number: +212 6 98 76 54 32
Address: 456 Rue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina El Khattabi
Doctor speciality / Title: Immunologist
ID: 654321987
Phone number: +212 6 54 32 10 98
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
5,GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","#Suggestion 1
Full Name: Dr. Ahmed El Amrani
Doctor speciality / Title: Gastroenterologist
ID: 123456789
Phone number: +212 6 12345678
Address: 123 Rue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Fatima Benali
Doctor speciality / Title: Internal Medicine Specialist
ID: 987654321
Phone number: +212 6 98765432
Address: 456 Avenue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Karim Mansouri
Doctor speciality / Title: Dietitian
ID: 654321987
Phone number: +212 6 65432198
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
6,Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Gastroenterologist
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Rue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Hepatologist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Avenue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina Mansouri
Doctor speciality / Title: Pediatric Gastroenterologist
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
7,hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication","#Suggestion 1
Full Name: Dr. Ahmed El Amrani
Doctor speciality / Title: Gastroenterologist
ID: 123456789
Phone number: 06XXXXXXXX
Address: 123 Rue Hassan II, Casablanca

#Suggestion 2
Full Name: Dr. Fatima Zohra Benali
Doctor speciality / Title: Hepatologist
ID: 987654321
Phone number: 06XXXXXXXX
Address: 456 Avenue Mohammed V, Casablanca

#Suggestion 3
Full Name: Dr. Karim Mansouri
Doctor speciality / Title: Infectious Disease Specialist
ID: 654321987
Phone number: 06XXXXXXXX
Address: 789 Boulevard Abdelmoumen, Casablanca"
8,Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","acetaminophen, consult nearest hospital, follow up, salt baths","#Suggestion 1
Full Name: Dr. Ahmed El Amrani
Doctor speciality / Title: Rheumatologist
ID: 123456789
Phone number: +212 6 12345678
Address: 123 Rue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Fatima Benali
Doctor speciality / Title: Orthopedic Surgeon
ID: 987654321
Phone number: +212 6 98765432
Address: 456 Avenue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Karim Mansouri
Doctor speciality / Title: Physical Medicine and Rehabilitation Specialist
ID: 654321987
Phone number: +212 6 65432198
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
9,(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"lie down, avoid sudden change in body, avoid abrupt head movment, relax","#Suggestion 1
Full Name: Dr. Fatima Zahra El Amrani
Doctor speciality / Title: Otolaryngologist (Ear, Nose, and Throat Specialist)
ID: 123456789
Phone number: +212 6 12 34 56 78
Address: 123 Avenue Hassan II, Casablanca, Morocco

#Suggestion 2
Full Name: Dr. Ahmed Benali
Doctor speciality / Title: Neurologist
ID: 987654321
Phone number: +212 6 54 32 10 98
Address: 456 Rue Mohammed V, Casablanca, Morocco

#Suggestion 3
Full Name: Dr. Amina Mansouri
Doctor speciality / Title: Physical Therapist
ID: 654321987
Phone number: +212 6 78 90 12 34
Address: 789 Boulevard Abdelmoumen, Casablanca, Morocco"
