	name	description	Analytics	Archiving and Digital Preservation (DP)	Automation	Backup	Blogging Platforms	Booking and Scheduling	Bookmarks and Link Sharing	Calendar & Contacts	Communication - Custom Communication Systems	Communication - Email - Complete Solutions	Communication - Email - Mail Delivery Agents	Communication - Email - Mail Transfer Agents	Communication - Email - Mailing Lists and Newsletters	Communication - Email - Webmail Clients	Communication - IRC	Communication - SIP	Communication - Social Networks and Forums	Communication - Video Conferencing	Communication - XMPP - Servers	Communication - XMPP - Web Clients	Community-Supported Agriculture (CSA)	Conference Management	Content Management Systems (CMS)	Database Management	DNS	Document Management - E-books	Document Management - Institutional Repository and Digital Library Software	Document Management - Integrated Library Systems (ILS)	Document Management	E-commerce	Federated Identity & Authentication	Feed Readers	File Transfer - Distributed Filesystems	File Transfer - Object Storage & File Servers	File Transfer - Peer-to-peer Filesharing	File Transfer - Single-click & Drag-n-drop Upload	File Transfer - Web-based File Managers	File Transfer & Synchronization	Games - Administrative Utilities & Control Panels	Games	Genealogy	Groupware	Human Resources Management (HRM)	Internet of Things (IoT)	Inventory Management	Knowledge Management Tools	Learning and Courses	Manufacturing	Maps and Global Positioning System (GPS)	Media Streaming - Audio Streaming	Media Streaming - Multimedia Streaming	Media Streaming - Video Streaming	Media Streaming	Miscellaneous	Money, Budgeting & Management	Monitoring	Note-taking & Editors	Office Suites	Password Managers	Pastebins	Personal Dashboards	Photo and Video Galleries	Polls and Events	Proxy	Recipe Management	Remote Access	Resource Planning	Search Engines	Self-hosting Solutions	Software Development - API Management	Software Development - Continuous Integration & Deployment	Software Development - FaaS & Serverless	Software Development - IDE & Tools	Software Development - Localization	Software Development - Low Code	Software Development - Project Management	Software Development - Testing	Software Development	Static Site Generators	Status / Uptime pages	Task Management & To-do Lists	Ticketing	Time Tracking	URL Shorteners	Video Surveillance	VPN	Web Servers	Wikis
0	Predictive Analysis Software	Develop a predictive analysis software that uses existing data to forecast trends, patterns, and behaviours.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	Employee Scheduling System	Implement a system for managing employee work hours, schedule changes, and leave requests.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Digital Library	A virtual platform that contains an extensive collection of books, articles, and journals.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Healthcare Management System	Software to maintain and manage the medical records and information of patients in a hospital.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4	Video Streaming Service	A platform that provides on-demand streaming of TV shows and movie content to users.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	Remote Learning Portal	An online learning hub that facilitates virtual interactions between teachers and students.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	Project Management Tool	A tool designed to assist teams in organizing work and managing projects and tasks effectively.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
7	Smart Home System	A system used to automate basic home functions like temperature control, door locking, etc using IoT.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8	Project-1	A streamlined e-commerce website. Focused on providing an organized interface for customers to purchase goods with ease. Will require catalog browsing, secure payment processing, and user reviews.	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Project-2	An integrated scheduling and booking system for a medical clinic. To include patient registration, scheduling, reminders, and records management.	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
