"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Trade data discrepancies","XXXX HS92","2021","$2.15T","0","0.807","-1.27","0","Other"
"Electronic integrated circuits","8542 HS92","2021","$982B","0.311","0.917","1.13","0.826","Electronics"
"Petroleum oils, crude","2709 HS92","2021","$938B","0.0459","0.823","-2.4","-0.152","Minerals"
"Petroleum oils, refined","2710 HS92","2021","$664B","0.0874","0.849","-0.755","0.171","Minerals"
"Commodities not specified according to kind","9999 HS92","2021","$557B","0.29","0.846","-0.162","0.0013","Other"
"Transmission apparatus for radio, telephone and TV","8525 HS92","2021","$481B","0.0312","0.898","0.818","0.607","Electronics"
"Gold","7108 HS92","2021","$427B","0.0699","0.794","-2.52","-0.0008","Stone"
"Petroleum gases","2711 HS92","2021","$418B","0.0017","0.836","-2.34","-0.208","Minerals"
"Medicaments, packaged","3004 HS92","2021","$412B","0.101","0.883","0.852","0.984","Chemicals"
"Parts of motor vehicles","8708 HS92","2021","$398B","0.966","0.884","1.2","1.22","Vehicles"
"Computers","8471 HS92","2021","$352B","0.005","0.897","1.05","0.604","Machinery"
"Serums and vaccines","3002 HS92","2021","$337B","0.0156","0.932","1.68","1.04","Chemicals"
"Parts and accessories for office machines","8473 HS92","2021","$292B","0.0054","0.921","1.26","0.775","Machinery"
"Iron ores and concentrates","2601 HS92","2021","$228B","0.0168","0.85","-1.97","-0.211","Minerals"
"Medical instruments","9018 HS92","2021","$150B","0.0684","0.884","0.783","0.887","Machinery"
"Machines n.e.c.","8479 HS92","2021","$145B","0.0462","0.938","2.04","1.41","Machinery"
"Coal","2701 HS92","2021","$137B","0","0.862","-1.68","-0.192","Minerals"
"Gas turbines","8411 HS92","2021","$133B","0.192","0.922","0.794","0.793","Machinery"
"Telephones","8517 HS92","2021","$133B","0.0172","0.909","1.2","0.36","Electronics"
"Electrical transformers","8504 HS92","2021","$121B","0.343","0.874","0.912","0.949","Electronics"
"Diamonds","7102 HS92","2021","$114B","0","0.859","-1.54","-0.0123","Stone"
"Other furniture and parts","9403 HS92","2021","$110B","0.149","0.844","0.499","0.621","Textiles"
"Other aircraft and spacecraft","8802 HS92","2021","$109B","0.149","0.905","0.113","0.648","Vehicles"
"Other articles of plastic","3926 HS92","2021","$103B","0.575","0.879","0.567","1.01","Chemicals"
"Appliances for thermostatically controlled valves","8481 HS92","2021","$100B","0.333","0.902","1.72","1.41","Machinery"
"Jewelry of precious metal","7113 HS92","2021","$96.4B","0.0411","0.871","0.194","0.446","Stone"
"Polymers of ethylene","3901 HS92","2021","$95.2B","0.0305","0.864","0.0663","0.487","Chemicals"
"Batteries","8507 HS92","2021","$94.9B","0.0933","0.912","1.19","1.1","Electronics"
"Copper ore","2603 HS92","2021","$93.1B","0.906","0.786","-2.19","-0.253","Minerals"
"Refined copper and copper alloys","7403 HS92","2021","$91.2B","0.25","0.835","-1.52","0.0309","Metals"
"Platinum","7110 HS92","2021","$91.1B","0","0.929","0.763","0.793","Stone"
"Centrifuges","8421 HS92","2021","$87.5B","0.325","0.879","1","1.1","Machinery"
"Monitors and projectors","8528 HS92","2021","$86.7B","0.0195","0.852","0.425","0.501","Electronics"
"New pneumatic tires of rubber","4011 HS92","2021","$85.5B","0.0051","0.854","0.387","0.685","Chemicals"
"Pumps, compressors, fans, etc.","8414 HS92","2021","$84.0B","0.08","0.898","1.39","1.24","Machinery"
"Soya beans","1201 HS92","2021","$82.3B","0.0004","0.864","-1.7","-0.197","Agriculture"
"Heterocyclic compounds with nitrogen hetero-atom(s) only","2933 HS92","2021","$81.2B","0.0005","0.928","1.22","0.91","Chemicals"
"Industrial monocarboxylic fatty acids","3823 HS92","2021","$77.8B","0.0464","0.905","-0.123","0.979","Chemicals"
"Polyacetals","3907 HS92","2021","$75.7B","0.267","0.889","1.04","0.931","Chemicals"
"Flat-rolled iron, width > 600mm, hot-rolled, not clad","7208 HS92","2021","$73.7B","0.248","0.877","0.732","0.682","Metals"
"Unwrought aluminum","7601 HS92","2021","$73.6B","0.129","0.83","-1.13","-0.1","Metals"
"Parts of radios, telephones, and T.V.s","8529 HS92","2021","$72.9B","0.0402","0.882","0.591","0.516","Electronics"
"Flat rolled iron, width > 600mm, clad","7210 HS92","2021","$71.2B","0.417","0.85","0.325","0.582","Metals"
